graph,method,ns,go,np-3,np-4,np-5,cln,ma
citeseer,drgraph,0.5416990940790107,0.6248816644871636,0.5329714928346811,0.3543693806062353,0.5848318375838991,0.9583940874320982,0.6341677074088178
citeseer,graphtsne,0.5426282525648694,0.582484987561765,0.15539121429150662,0.09208209974948466,0.1796569879291305,0.7752320495048404,0.527481582216444
citeseer,FR,0.6199933648561455,0.5752741008338444,0.35909463021320326,0.1873973801585601,0.4143995196385455,0.9235754207397181,0.6369418015114887
citeseer,EM-FR-CTE,0.9034393645376634,1.0,0.05056717239428536,0.07511181116715061,0.10102908814938118,0.8590578356380023,0.5471269542398043
citeseer,PH,0.6187071467161179,0.6301384255091225,0.18884650120606342,0.22121544111623645,0.2634927969785063,0.8955720418695056,0.6153334269464853
citeseer_lcg,FR,0.6594191015666789,0.6347553148203697,0.1785630182845641,0.2371065570179216,0.2927838949376117,0.9242324671015559,0.5341262910343849
citeseer_lcg,EM-FR-CTE,0.9040514685110302,1.0,0.09450497216862613,0.15433484028306182,0.21812292824154925,0.8486734141970773,0.432365193484864
cora,drgraph,0.6424576321608995,0.6535710284224473,0.3682791392711381,0.34838799979397256,0.46866040667251957,0.9444269760868528,0.44829319418664415
cora,graphtsne,0.6551145864463683,0.7895873545114166,0.30147103407147496,0.28412291606344403,0.4034419373208577,0.915718951473707,0.4054607147845073
cora,FR,0.7993270148056518,0.5552681375450249,0.21602705712620396,0.250523958065417,0.42406085103602065,0.909166934885669,0.4399894349261265
cora,EM-FR-CTE,0.901965463064313,1.0,0.12095948944839072,0.18556411058302347,0.27409035180982605,0.8424818143606951,0.3497499714565604
cora,PH,0.5409112705461909,0.6787033449599422,0.23023827184810364,0.2661660068670868,0.3314820200525566,0.9106429919331044,0.4193469087335471
cora_lcg,FR,0.7348107698237872,0.6338161588632878,0.16107757615622398,0.2388348349927063,0.3764363709359361,0.9072070303998645,0.41218114528844296
cora_lcg,EM-FR-CTE,0.901559931445472,1.0,0.13988080800929623,0.213091065822306,0.32904021854896387,0.8453901252658778,0.31823651731067815
facebook,drgraph,0.6888108978237286,0.8919329042293649,0.6796901933384386,0.6745061001467223,0.7095805965946854,0.6991364912121103,0.19307226960370572
facebook,FR,0.8446990198190917,0.8169012208643643,0.7063999815900432,0.7282492038074755,0.8143265350604807,0.7350768214486045,0.200524760844363
facebook,EM-FR-CTE,0.8465789149555831,1.0,0.5327441295578705,0.5742892098852275,0.6623390824203094,0.7500195435972729,0.1969251630971418
facebook,PH,0.7381301656265196,0.9161709670844475,0.655564198921814,0.6893128764699796,0.7246003900672784,0.7410972646618509,0.18715081619719798
facebook_lcg,FR,0.6519429866745614,0.820862174694668,0.769351223491467,0.8184391641526029,0.8683630576282734,0.7520701158825157,0.14002863760284534
facebook_lcg,EM-FR-CTE,0.7499988670886337,0.9938684503901896,0.6423770330106229,0.6952645886468365,0.8089322046791244,0.7247541220417086,0.13287160703826428
miserables,drgraph,0.6547326323163469,0.830590306336575,0.7710391153464439,0.981902968915956,1.0,0.6380755247496797,0.3455704039935148
miserables,FR,0.8136508541388559,0.9907401814092675,0.8847772208007416,0.9893399254728715,1.0,0.8285452849909227,0.3596216533174851
miserables,EM-FR-CTE,0.8844110839177716,1.0,0.8652417057579644,0.9886679765992672,1.0,0.8226785555662485,0.3508561634472984
miserables,PH,0.8786737932949538,1.0,0.8618051018799595,0.9903919536884795,1.0,0.8331827800905963,0.3846241772322112
science,drgraph,0.8150633137511714,0.9375173237008863,0.6074800955724693,0.6953547801751474,0.7189542428232453,0.9255899572066779,0.10847409226991
science,FR,0.8277743289762293,0.9533594019632051,0.58357795819377,0.6979068655831423,0.7404000862684789,0.9165371534580163,0.1140586057250016
science,EM-FR-CTE,0.9157961795152958,0.9935080407731599,0.4892681865055602,0.5248179844349743,0.5409580862699123,0.9108146888223,0.10325879935187032
science,PH,0.7634034587964618,0.9625899681354394,0.49988155578664395,0.5837674064804349,0.6134163828585609,0.9049818690452086,0.10069230223273429
