gender_f77,locale_f127,education_school_id_f35,education_type_f53,education_type_f55,education_year_id_f57,gender_f78,languages_id_f92,languages_id_f98,last_name_f114,locale_f126,location_id_f135,birthday_f7,education_concentration_id_f14,education_school_id_f34,education_school_id_f50,education_year_id_f59,education_year_id_f65,location_id_f137,work_end_date_f168,work_end_date_f170,work_location_id_f137,work_start_date_f164,work_start_date_f202,education_with_id_f56,education_school_id_f49,education_type_f54,birthday_f1,education_year_id_f62,last_name_f111,work_end_date_f157,work_start_date_f157,education_concentration_id_f13,education_school_id_f25,education_school_id_f43,last_name_f107,work_employer_id_f141,work_employer_id_f144,work_start_date_f196,birthday_f6,work_employer_id_f50,work_start_date_f199,work_start_date_f200,education_school_id_f39,languages_id_f93,languages_id_f95,languages_id_f100,last_name_f108,work_location_id_f129,birthday_f5,education_year_id_f64,birthday_f0,education_school_id_f28,location_id_f129,work_location_id_f175,education_degree_id_f21,education_degree_id_f22,education_school_id_f47,education_year_id_f58,education_year_id_f66,education_concentration_id_f15,education_school_id_f38,education_year_id_f61,hometown_id_f81,education_year_id_f67,work_start_date_f166,languages_id_f96,education_concentration_id_f17,location_id_f132,education_concentration_id_f19,education_year_id_f72,last_name_f110,work_start_date_f171,work_end_date_f158,work_end_date_f163,work_end_date_f166,work_end_date_f172,work_location_id_f132,work_position_id_f185,work_position_id_f187,work_position_id_f193,work_start_date_f194,work_start_date_f195,work_start_date_f165,location_id_f134,work_end_date_f161,work_start_date_f160,last_name_f118,work_start_date_f162,languages_id_f91,education_school_id_f45,hometown_id_f88,location_id_f88,education_concentration_id_f16,education_year_id_f60,education_year_id_f63,last_name_f109,work_end_date_f169,work_start_date_f168,education_school_id_f27,work_employer_id_f151,work_employer_id_f153,work_employer_id_f154,work_end_date_f162,work_location_id_f180,work_start_date_f197,work_start_date_f169,education_school_id_f33,languages_id_f101,work_employer_id_f155,work_position_id_f184,work_position_id_f186,birthday_f3,work_start_date_f201,last_name_f104,education_school_id_f31,education_school_id_f40,education_year_id_f69,education_year_id_f71,location_id_f136,location_id_f133,education_classes_id_f9,first_name_f74,work_position_id_f182,work_position_id_f189,education_school_id_f52,education_year_id_f70,hometown_id_f89,education_year_id_f68,work_position_id_f192,work_start_date_f170,location_id_f138,hometown_id_f87,work_location_id_f176,education_school_id_f48,education_school_id_f26,languages_id_f97,work_employer_id_f52,education_classes_id_f11,work_position_id_f183,languages_id_f99,last_name_f113,education_school_id_f44,work_employer_id_f150,languages_id_f90,work_location_id_f138,education_degree_id_f23,languages_id_f103,location_id_f128,hometown_id_f83,education_school_id_f24,last_name_f115,education_school_id_f32,work_employer_id_f149,work_start_date_f158,education_degree_id_f20,education_school_id_f37,work_end_date_f171,languages_id_f94,work_employer_id_f156,work_location_id_f179,work_position_id_f181,last_name_f124,work_location_id_f177,work_employer_id_f146,last_name_f112,work_employer_id_f145,education_school_id_f42,last_name_f105,birthday_f4,hometown_id_f85,work_end_date_f167,work_employer_id_f148,work_location_id_f174,first_name_f73,education_school_id_f51,location_id_f131,work_end_date_f164,birthday_f2,work_end_date_f165,work_start_date_f204,work_start_date_f203,work_location_id_f173,education_school_id_f29,hometown_id_f86,work_start_date_f198,education_classes_id_f10,first_name_f76,work_employer_id_f152,work_location_id_f178,education_school_id_f46,hometown_id_f82,last_name_f120,work_employer_id_f140,last_name_f116,education_classes_id_f12,education_school_id_f30,work_employer_id_f143,hometown_id_f80,location_id_f130,hometown_id_f84,languages_id_f102,education_concentration_id_f18,work_employer_id_f139,work_end_date_f160,education_classes_id_f8,last_name_f119,locale_f125,work_position_id_f190,work_position_id_f188,last_name_f117,last_name_f123,work_employer_id_f142,work_with_id_f205,education_school_id_f41,last_name_f122,first_name_f75,education_school_id_f36,work_end_date_f159,work_employer_id_f147,hometown_id_f79,last_name_f121,work_position_id_f191,last_name_f106,nodeid
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
